,ID,Location,WaterBody,Latitude,Longitude,
32,SYCEO-ZDC_3,Zanja_de_Cota_Creek_Mid,Zanja_de_Cota_Creek_Mid,34.6108611,-120.0942778,Santa Ynez Chumash Environmental Office
33,SYCEO-ZDC_5,Zanja_de_Cota_Creek_Upstream,Zanja_de_Cota_Creek_Upstream,34.6161389,-120.0895277,Santa Ynez Chumash Environmental Office
34,SYCEO-ZDC_7,Zanja_de_Cota_Creek_Downstream,Zanja_de_Cota_Creek_Downstream,34.6001389,-120.1006389,Santa Ynez Chumash Environmental Office
35,SYCEO-ZDC_8,Zanja_de_Cota_Creek_Upstream_2,Zanja_de_Cota_Creek_Upstream_2,34.6073297,-120.0888222,Santa Ynez Chumash Environmental Office
36,SYCEO_WQX-ZDC-10,Zanja de Cota Creek Headwaters,Zanja de Cota Creek Headwaters,34.61104,-120.08624,Santa Ynez Chumash Environmental Office
37,SYCEO_WQX-ZDC-3,Zanja de Cota Creek Mid-point,Zanja de Cota Creek Mid-point,34.6066167,-120.0898667,Santa Ynez Chumash Environmental Office
38,SYCEO_WQX-ZDC-3-Dup,Zanja de Cota Creek Mid-point - Duplicate,Zanja de Cota Creek Mid-point - Duplicate,34.6066167,-120.0898667,Santa Ynez Chumash Environmental Office
39,SYCEO_WQX-ZDC-5,Zanja de Cota Creek West Fork Upstream,Zanja de Cota Creek West Fork Upstream,34.6096333,-120.0870333,Santa Ynez Chumash Environmental Office
40,SYCEO_WQX-ZDC-5-Dup,Zanja de Cota Creek West Fork Upstream - Duplicate,Zanja de Cota Creek West Fork Upstream - Duplicate,34.6096333,-120.0870333,Santa Ynez Chumash Environmental Office
41,SYCEO_WQX-ZDC-7,Zanja de Cota Creek Downstream,Zanja de Cota Creek Downstream,34.5934167,-120.0937167,Santa Ynez Chumash Environmental Office
42,SYCEO_WQX-ZDC-7-Dup,Zanja de Cota Creek Downstream - Duplicate,Zanja de Cota Creek Downstream - Duplicate,34.5934167,-120.0937167,Santa Ynez Chumash Environmental Office
43,SYCEO_WQX-ZDC-8,Zanja de Cota Creek East Fork Upstream,Zanja de Cota Creek East Fork Upstream,34.60745,-120.0887167,Santa Ynez Chumash Environmental Office
44,SYCEO_WQX-ZDC-8-Dup,Zanja de Cota Creek East Fork Upstream - Duplicate,Zanja de Cota Creek East Fork Upstream - Duplicate,34.60745,-120.0887167,Santa Ynez Chumash Environmental Office
45,SYCEO_WQX-ZDC-9,Zanja de Cota Creek Upstream of Hwy 246 Culvert,Zanja de Cota Creek Upstream of Hwy 246 Culvert,34.61015,-120.08703,Santa Ynez Chumash Environmental Office
46,SYCEO_WQX-ZDC-9-Dup,Zanja de Cota Creek Upstream of Hwy 246 Culvert - Duplicate,Zanja de Cota Creek Upstream of Hwy 246 Culvert - Duplicate,34.61015,-120.08701,Santa Ynez Chumash Environmental Office
