"","Date","ID","Parameter","Value","Unit"
"38",2008-12-16,"CEDEN-314DDE","Total dissolved solids",910,"mg/l"
"39",2008-12-16,"CEDEN-314DDE","Ammonia",1.24,"mg/l"
"40",2008-12-16,"CEDEN-314DDE","Ammonia",0.114438,"mg/l"
"41",2008-01-24,"CEDEN-314MCM","Ammonia",0.013328,"mg/l"
"42",2008-01-24,"CEDEN-314MCM","Ammonia",1.3,"mg/l"
"43",2008-01-24,"CEDEN-314MCM","Total dissolved solids",650,"mg/l"
"44",2008-02-26,"CEDEN-314MCM","Ammonia",1.6,"mg/l"
"45",2008-02-26,"CEDEN-314MCM","Total dissolved solids",1050,"mg/l"
"46",2008-02-26,"CEDEN-314MCM","Ammonia",0.010693,"mg/l"
"47",2008-03-25,"CEDEN-314MCM","Ammonia",0.013242,"mg/l"
"48",2008-03-25,"CEDEN-314MCM","Total dissolved solids",1020,"mg/l"
"49",2008-03-25,"CEDEN-314MCM","Ammonia",5.49,"mg/l"
"50",2008-04-24,"CEDEN-314MCM","Ammonia",0.012855,"mg/l"
"51",2008-04-24,"CEDEN-314MCM","Total dissolved solids",1190,"mg/l"
"52",2008-04-24,"CEDEN-314MCM","Ammonia",5.22,"mg/l"
"53",2008-05-27,"CEDEN-314MCM","Total dissolved solids",1100,"mg/l"
"54",2008-05-27,"CEDEN-314MCM","Ammonia",3.2,"mg/l"
"55",2008-05-27,"CEDEN-314MCM","Ammonia",0.01137,"mg/l"
"56",2008-06-24,"CEDEN-314MCM","Total dissolved solids",1190,"mg/l"
"57",2008-06-24,"CEDEN-314MCM","Ammonia",1.92,"mg/l"
"58",2008-06-24,"CEDEN-314MCM","Ammonia",0.007286,"mg/l"
"59",2008-07-29,"CEDEN-314MCM","Ammonia",2.7,"mg/l"
"60",2008-07-29,"CEDEN-314MCM","Ammonia",0.032646,"mg/l"
"61",2008-07-29,"CEDEN-314MCM","Total dissolved solids",1110,"mg/l"
"62",2008-08-14,"CEDEN-314MCM","Total dissolved solids",1100,"mg/l"
"63",2008-08-14,"CEDEN-314MCM","Ammonia",0.023199,"mg/l"
"64",2008-08-14,"CEDEN-314MCM","Ammonia",3.19,"mg/l"
"65",2008-09-23,"CEDEN-314MCM","Ammonia",6.61,"mg/l"
"66",2008-09-23,"CEDEN-314MCM","Ammonia",0.055696,"mg/l"
"67",2008-09-23,"CEDEN-314MCM","Total dissolved solids",1080,"mg/l"
"68",2008-10-28,"CEDEN-314MCM","Ammonia",3.42,"mg/l"
"69",2008-10-28,"CEDEN-314MCM","Total dissolved solids",1060,"mg/l"
"70",2008-10-28,"CEDEN-314MCM","Ammonia",0.017788,"mg/l"
"71",2008-11-18,"CEDEN-314MCM","Ammonia",3.38,"mg/l"
"72",2008-11-18,"CEDEN-314MCM","Total dissolved solids",1070,"mg/l"
"73",2008-11-18,"CEDEN-314MCM","Ammonia",0.013969,"mg/l"
"74",2008-12-16,"CEDEN-314MCM","Ammonia",2.86,"mg/l"
"75",2008-12-16,"CEDEN-314MCM","Total dissolved solids",1000,"mg/l"
"76",2008-12-16,"CEDEN-314MCM","Ammonia",0.007833,"mg/l"
"77",2001-01-18,"CEDEN-314MIG","Ammonia",0.005954,"mg/l"
"78",2001-01-18,"CEDEN-314MIG","Nitrate",0.15505611,"mg/l"
"79",2001-01-18,"CEDEN-314MIG","Total dissolved solids",200,"mg/l"
"80",2001-01-18,"CEDEN-314MIG","Total dissolved solids",620,"mg/l"
"81",2001-01-18,"CEDEN-314MIG","Ammonia",0.041,"mg/l"
"82",2001-01-18,"CEDEN-314MIG","Total dissolved solids",815,"mg/l"
"83",2001-02-12,"CEDEN-314MIG","Ammonia",0.008387,"mg/l"
"84",2001-02-12,"CEDEN-314MIG","Nitrate",0.0449438,"mg/l"
"85",2001-02-12,"CEDEN-314MIG","Total dissolved solids",200,"mg/l"
"86",2001-02-12,"CEDEN-314MIG","Total dissolved solids",850,"mg/l"
"87",2001-02-12,"CEDEN-314MIG","Ammonia",0.2132,"mg/l"
"88",2001-02-12,"CEDEN-314MIG","Total dissolved solids",645,"mg/l"
"89",2001-03-06,"CEDEN-314MIG","Ammonia",0.000595,"mg/l"
"90",2001-03-06,"CEDEN-314MIG","Ammonia",0.082,"mg/l"
"91",2001-03-06,"CEDEN-314MIG","Total dissolved solids",56,"mg/l"
"92",2001-03-06,"CEDEN-314MIG","Total dissolved solids",230,"mg/l"
"93",2001-03-06,"CEDEN-314MIG","Nitrate",0.8539322,"mg/l"
"94",2001-03-06,"CEDEN-314MIG","Total dissolved solids",286,"mg/l"
"95",2001-04-03,"CEDEN-314MIG","Total dissolved solids",840,"mg/l"
"96",2001-04-03,"CEDEN-314MIG","Nitrate",0.07640446,"mg/l"
"97",2001-04-03,"CEDEN-314MIG","Total dissolved solids",210,"mg/l"
"98",2001-04-03,"CEDEN-314MIG","Total dissolved solids",630,"mg/l"
"99",2001-05-09,"CEDEN-314MIG","Nitrate",0.06966289,"mg/l"
"100",2001-05-09,"CEDEN-314MIG","Total dissolved solids",850,"mg/l"
"101",2001-05-09,"CEDEN-314MIG","Total dissolved solids",630,"mg/l"
"102",2001-05-09,"CEDEN-314MIG","Ammonia",0.0328,"mg/l"
"103",2001-05-09,"CEDEN-314MIG","Total dissolved solids",220,"mg/l"
"104",2001-05-09,"CEDEN-314MIG","Ammonia",0.011051,"mg/l"
"105",2001-06-06,"CEDEN-314MIG","Ammonia",0.008185,"mg/l"
"106",2001-06-06,"CEDEN-314MIG","Total dissolved solids",660,"mg/l"
"107",2001-06-06,"CEDEN-314MIG","Nitrate",0.04943818,"mg/l"
"108",2001-06-06,"CEDEN-314MIG","Total dissolved solids",220,"mg/l"
"109",2001-06-06,"CEDEN-314MIG","Total dissolved solids",880,"mg/l"
"110",2001-06-06,"CEDEN-314MIG","Ammonia",0.0492,"mg/l"
"111",2001-07-10,"CEDEN-314MIG","Total dissolved solids",300,"mg/l"
"112",2001-07-10,"CEDEN-314MIG","Total dissolved solids",690,"mg/l"
"113",2001-07-10,"CEDEN-314MIG","Nitrate",0.04269661,"mg/l"
"114",2001-07-10,"CEDEN-314MIG","Total dissolved solids",990,"mg/l"
"115",2001-08-08,"CEDEN-314MIG","Ammonia",0.007124,"mg/l"
"116",2001-08-08,"CEDEN-314MIG","Total dissolved solids",260,"mg/l"
"117",2001-08-08,"CEDEN-314MIG","Total dissolved solids",675,"mg/l"
"118",2001-08-08,"CEDEN-314MIG","Ammonia",0.04,"mg/l"
"119",2001-08-08,"CEDEN-314MIG","Total dissolved solids",935,"mg/l"
"120",2001-09-06,"CEDEN-314MIG","Total dissolved solids",260,"mg/l"
"121",2001-09-06,"CEDEN-314MIG","Total dissolved solids",903,"mg/l"
"122",2001-09-06,"CEDEN-314MIG","Total dissolved solids",643,"mg/l"
"123",2001-10-03,"CEDEN-314MIG","Total dissolved solids",705,"mg/l"
"124",2001-10-03,"CEDEN-314MIG","Total dissolved solids",995,"mg/l"
"125",2001-10-03,"CEDEN-314MIG","Nitrate",0.0898876,"mg/l"
"126",2001-10-03,"CEDEN-314MIG","Total dissolved solids",290,"mg/l"
"127",2001-11-07,"CEDEN-314MIG","Ammonia",0.04,"mg/l"
"128",2001-11-07,"CEDEN-314MIG","Total dissolved solids",670,"mg/l"
"129",2001-11-07,"CEDEN-314MIG","Total dissolved solids",260,"mg/l"
"130",2001-11-07,"CEDEN-314MIG","Total dissolved solids",930,"mg/l"
"131",2001-11-07,"CEDEN-314MIG","Ammonia",0.01984,"mg/l"
"132",2001-12-10,"CEDEN-314MIG","Total dissolved solids",220,"mg/l"
"133",2001-12-10,"CEDEN-314MIG","Total dissolved solids",685,"mg/l"
"134",2001-12-10,"CEDEN-314MIG","Total dissolved solids",905,"mg/l"
"135",2001-12-10,"CEDEN-314MIG","Ammonia",0.003,"mg/l"
"136",2001-12-10,"CEDEN-314MIG","Ammonia",0.01,"mg/l"
"137",2001-12-10,"CEDEN-314MIG","Ammonia",0.01,"mg/l"
"138",2001-12-10,"CEDEN-314MIG","Ammonia",0.003,"mg/l"
"139",2002-01-07,"CEDEN-314MIG","Total dissolved solids",587,"mg/l"
"140",2002-01-07,"CEDEN-314MIG","Total dissolved solids",807,"mg/l"
"141",2002-01-07,"CEDEN-314MIG","Total dissolved solids",220,"mg/l"
"142",2002-02-11,"CEDEN-314MIG","Total dissolved solids",220,"mg/l"
"143",2002-02-11,"CEDEN-314MIG","Total dissolved solids",665,"mg/l"
"144",2002-02-11,"CEDEN-314MIG","Total dissolved solids",885,"mg/l"
"145",2002-02-11,"CEDEN-314MIG","Ammonia",0.03,"mg/l"
"146",2002-02-11,"CEDEN-314MIG","Ammonia",0.00381,"mg/l"
"147",2002-03-11,"CEDEN-314MIG","Total dissolved solids",567,"mg/l"
"148",2002-03-11,"CEDEN-314MIG","Total dissolved solids",180,"mg/l"
"149",2002-03-11,"CEDEN-314MIG","Total dissolved solids",747,"mg/l"
"150",2002-03-17,"CEDEN-314MIG","Total dissolved solids",160,"mg/l"
"151",2002-03-17,"CEDEN-314MIG","Total dissolved solids",567,"mg/l"
"152",2002-03-17,"CEDEN-314MIG","Total dissolved solids",727,"mg/l"
"153",2002-03-17,"CEDEN-314MIG","Nitrate",0.022,"mg/l"
"154",2002-03-17,"CEDEN-314MIG","Ammonia",0.03,"mg/l"
"155",2002-03-17,"CEDEN-314MIG","Ammonia",0.011,"mg/l"
"156",2002-03-17,"CEDEN-314MIG","Ammonia",0.03,"mg/l"
"157",2002-03-17,"CEDEN-314MIG","Ammonia",0.011,"mg/l"
"158",2008-01-31,"CEDEN-314MIG","Ammonia",0.002752,"mg/l"
"159",2008-01-31,"CEDEN-314MIG","Total dissolved solids",570,"mg/l"
"160",2008-01-31,"CEDEN-314MIG","Total dissolved solids",420,"mg/l"
"161",2008-01-31,"CEDEN-314MIG","Ammonia",0.027,"mg/l"
"162",2008-01-31,"CEDEN-314MIG","Total dissolved solids",150,"mg/l"
"163",2008-01-31,"CEDEN-314MIG","Nitrate",2.5,"mg/l"
"164",2008-02-25,"CEDEN-314MIG","Total dissolved solids",480,"mg/l"
"165",2008-02-25,"CEDEN-314MIG","Total dissolved solids",660,"mg/l"
"166",2008-02-25,"CEDEN-314MIG","Total dissolved solids",180,"mg/l"
"167",2008-03-24,"CEDEN-314MIG","Total dissolved solids",840,"mg/l"
"168",2008-03-24,"CEDEN-314MIG","Total dissolved solids",580,"mg/l"
"169",2008-03-24,"CEDEN-314MIG","Total dissolved solids",260,"mg/l"
"170",2008-04-21,"CEDEN-314MIG","Total dissolved solids",300,"mg/l"
"171",2008-04-21,"CEDEN-314MIG","Total dissolved solids",930,"mg/l"
"172",2008-04-21,"CEDEN-314MIG","Nitrate",0.077,"mg/l"
"173",2008-04-21,"CEDEN-314MIG","Total dissolved solids",640,"mg/l"
"174",2008-05-21,"CEDEN-314MIG","Ammonia",0.00871,"mg/l"
"175",2008-05-21,"CEDEN-314MIG","Total dissolved solids",260,"mg/l"
"176",2008-05-21,"CEDEN-314MIG","Total dissolved solids",900,"mg/l"
"177",2008-05-21,"CEDEN-314MIG","Total dissolved solids",640,"mg/l"
"178",2008-05-21,"CEDEN-314MIG","Ammonia",0.035,"mg/l"
"179",2008-05-21,"CEDEN-314MIG","Nitrate",0.057,"mg/l"
"180",2008-06-16,"CEDEN-314MIG","Total dissolved solids",350,"mg/l"
"181",2008-06-16,"CEDEN-314MIG","Total dissolved solids",670,"mg/l"
"182",2008-06-16,"CEDEN-314MIG","Total dissolved solids",1000,"mg/l"
"183",2008-07-21,"CEDEN-314MIG","Total dissolved solids",280,"mg/l"
"184",2008-07-21,"CEDEN-314MIG","Total dissolved solids",920,"mg/l"
"185",2008-07-21,"CEDEN-314MIG","Ammonia",0.036,"mg/l"
"186",2008-07-21,"CEDEN-314MIG","Total dissolved solids",640,"mg/l"
"187",2008-07-21,"CEDEN-314MIG","Ammonia",0.019946,"mg/l"
"188",2008-09-22,"CEDEN-314MIG","Ammonia",0.003938,"mg/l"
"189",2008-09-22,"CEDEN-314MIG","Total dissolved solids",1100,"mg/l"
"190",2008-09-22,"CEDEN-314MIG","Total dissolved solids",680,"mg/l"
"191",2008-09-22,"CEDEN-314MIG","Ammonia",0.027,"mg/l"
"192",2008-09-22,"CEDEN-314MIG","Total dissolved solids",420,"mg/l"
"193",2014-12-17,"CEDEN-314MIG","Total dissolved solids",480,"mg/l"
"194",2014-12-17,"CEDEN-314MIG","Ammonia",0.044,"mg/l"
"195",2014-12-17,"CEDEN-314MIG","Total dissolved solids",65,"mg/l"
"196",2014-12-17,"CEDEN-314MIG","Nitrate",0.68,"mg/l"
"197",2014-12-17,"CEDEN-314MIG","Total dissolved solids",420,"mg/l"
"198",2001-01-18,"CEDEN-314SAL","Total dissolved solids",975,"mg/l"
"199",2001-01-18,"CEDEN-314SAL","Ammonia",0.041,"mg/l"
"200",2001-01-18,"CEDEN-314SAL","Total dissolved solids",250,"mg/l"
"201",2001-01-18,"CEDEN-314SAL","Total dissolved solids",725,"mg/l"
"202",2001-01-18,"CEDEN-314SAL","Nitrate",0.4719099,"mg/l"
"203",2001-01-18,"CEDEN-314SAL","Ammonia",0.000849,"mg/l"
"204",2001-02-12,"CEDEN-314SAL","Total dissolved solids",110,"mg/l"
"205",2001-02-12,"CEDEN-314SAL","Ammonia",0.164,"mg/l"
"206",2001-02-12,"CEDEN-314SAL","Nitrate",0.3595504,"mg/l"
"207",2001-02-12,"CEDEN-314SAL","Total dissolved solids",467,"mg/l"
"208",2001-02-12,"CEDEN-314SAL","Total dissolved solids",580,"mg/l"
"209",2001-02-12,"CEDEN-314SAL","Ammonia",0.002311,"mg/l"
"210",2001-03-06,"CEDEN-314SAL","Ammonia",0.000819,"mg/l"
"211",2001-03-06,"CEDEN-314SAL","Ammonia",0.082,"mg/l"
"212",2001-03-06,"CEDEN-314SAL","Total dissolved solids",358,"mg/l"
"213",2001-03-06,"CEDEN-314SAL","Total dissolved solids",82,"mg/l"
"214",2001-03-06,"CEDEN-314SAL","Nitrate",0.5393256,"mg/l"
"215",2001-03-06,"CEDEN-314SAL","Total dissolved solids",276,"mg/l"
"216",2001-04-03,"CEDEN-314SAL","Total dissolved solids",200,"mg/l"
"217",2001-04-03,"CEDEN-314SAL","Total dissolved solids",930,"mg/l"
"218",2001-04-03,"CEDEN-314SAL","Total dissolved solids",730,"mg/l"
"219",2001-04-03,"CEDEN-314SAL","Nitrate",0.9438198,"mg/l"
"220",2001-05-09,"CEDEN-314SAL","Nitrate",0.4943818,"mg/l"
"221",2001-05-09,"CEDEN-314SAL","Ammonia",0.041,"mg/l"
"222",2001-05-09,"CEDEN-314SAL","Total dissolved solids",220,"mg/l"
"223",2001-05-09,"CEDEN-314SAL","Total dissolved solids",670,"mg/l"
"224",2001-05-09,"CEDEN-314SAL","Total dissolved solids",890,"mg/l"
"225",2001-05-09,"CEDEN-314SAL","Ammonia",0.004248,"mg/l"
"226",2001-06-06,"CEDEN-314SAL","Ammonia",0.0492,"mg/l"
"227",2001-06-06,"CEDEN-314SAL","Total dissolved solids",200,"mg/l"
"228",2001-06-06,"CEDEN-314SAL","Nitrate",0.224719,"mg/l"
"229",2001-06-06,"CEDEN-314SAL","Total dissolved solids",670,"mg/l"
"230",2001-06-06,"CEDEN-314SAL","Total dissolved solids",870,"mg/l"
"231",2001-06-06,"CEDEN-314SAL","Ammonia",0.003061,"mg/l"
"232",2001-07-10,"CEDEN-314SAL","Total dissolved solids",240,"mg/l"
"233",2001-07-10,"CEDEN-314SAL","Total dissolved solids",630,"mg/l"
"234",2001-07-10,"CEDEN-314SAL","Nitrate",0.04269661,"mg/l"
"235",2001-07-10,"CEDEN-314SAL","Total dissolved solids",870,"mg/l"
"236",2001-08-08,"CEDEN-314SAL","Ammonia",0.00327,"mg/l"
"237",2001-08-08,"CEDEN-314SAL","Total dissolved solids",755,"mg/l"
"238",2001-08-08,"CEDEN-314SAL","Ammonia",0.06,"mg/l"
"239",2001-08-08,"CEDEN-314SAL","Total dissolved solids",955,"mg/l"
"240",2001-08-08,"CEDEN-314SAL","Total dissolved solids",200,"mg/l"
"241",2001-08-08,"CEDEN-314SAL","Nitrate",0.10337074,"mg/l"
"242",2001-09-06,"CEDEN-314SAL","Total dissolved solids",990,"mg/l"
"243",2001-09-06,"CEDEN-314SAL","Nitrate",0.08314603,"mg/l"
"244",2001-09-06,"CEDEN-314SAL","Total dissolved solids",750,"mg/l"
"245",2001-09-06,"CEDEN-314SAL","Total dissolved solids",240,"mg/l"
"246",2001-10-03,"CEDEN-314SAL","Ammonia",0.05,"mg/l"
"247",2001-10-03,"CEDEN-314SAL","Total dissolved solids",780,"mg/l"
"248",2001-10-03,"CEDEN-314SAL","Total dissolved solids",240,"mg/l"
"249",2001-10-03,"CEDEN-314SAL","Nitrate",0.2696628,"mg/l"
"250",2001-10-03,"CEDEN-314SAL","Total dissolved solids",1020,"mg/l"
"251",2001-10-03,"CEDEN-314SAL","Ammonia",0.001743,"mg/l"
"252",2001-11-07,"CEDEN-314SAL","Total dissolved solids",760,"mg/l"
"253",2001-11-07,"CEDEN-314SAL","Total dissolved solids",1020,"mg/l"
"254",2001-11-07,"CEDEN-314SAL","Ammonia",0.05,"mg/l"
"255",2001-11-07,"CEDEN-314SAL","Nitrate",0.26,"mg/l"
"256",2001-11-07,"CEDEN-314SAL","Total dissolved solids",260,"mg/l"
"257",2001-11-07,"CEDEN-314SAL","Ammonia",0.001553,"mg/l"
"258",2001-12-10,"CEDEN-314SAL","Total dissolved solids",965,"mg/l"
"259",2001-12-10,"CEDEN-314SAL","Total dissolved solids",745,"mg/l"
"260",2001-12-10,"CEDEN-314SAL","Nitrate",0.54,"mg/l"
"261",2001-12-10,"CEDEN-314SAL","Ammonia",0.03,"mg/l"
"262",2001-12-10,"CEDEN-314SAL","Total dissolved solids",220,"mg/l"
"263",2001-12-10,"CEDEN-314SAL","Ammonia",0.000631,"mg/l"
"264",2002-01-07,"CEDEN-314SAL","Nitrate",0.24,"mg/l"
"265",2002-01-07,"CEDEN-314SAL","Total dissolved solids",970,"mg/l"
"266",2002-01-07,"CEDEN-314SAL","Total dissolved solids",750,"mg/l"
"267",2002-01-07,"CEDEN-314SAL","Total dissolved solids",220,"mg/l"
"268",2002-02-11,"CEDEN-314SAL","Total dissolved solids",735,"mg/l"
"269",2002-02-11,"CEDEN-314SAL","Total dissolved solids",955,"mg/l"
"270",2002-02-11,"CEDEN-314SAL","Ammonia",0.05,"mg/l"
"271",2002-02-11,"CEDEN-314SAL","Nitrate",0.047,"mg/l"
"272",2002-02-11,"CEDEN-314SAL","Total dissolved solids",220,"mg/l"
"273",2002-02-11,"CEDEN-314SAL","Ammonia",0.001061,"mg/l"
"274",2002-03-11,"CEDEN-314SAL","Total dissolved solids",755,"mg/l"
"275",2002-03-11,"CEDEN-314SAL","Total dissolved solids",200,"mg/l"
"276",2002-03-11,"CEDEN-314SAL","Ammonia",0.02,"mg/l"
"277",2002-03-11,"CEDEN-314SAL","Total dissolved solids",955,"mg/l"
"278",2002-03-11,"CEDEN-314SAL","Ammonia",0.000646,"mg/l"
"279",2008-01-31,"CEDEN-314SAL","Total dissolved solids",860,"mg/l"
"280",2008-01-31,"CEDEN-314SAL","Total dissolved solids",200,"mg/l"
"281",2008-01-31,"CEDEN-314SAL","Total dissolved solids",670,"mg/l"
"282",2008-01-31,"CEDEN-314SAL","Ammonia",0.034,"mg/l"
"283",2008-01-31,"CEDEN-314SAL","Nitrate",1.9,"mg/l"
"284",2008-01-31,"CEDEN-314SAL","Ammonia",0.000848,"mg/l"
"285",2008-02-25,"CEDEN-314SAL","Total dissolved solids",510,"mg/l"
"286",2008-02-25,"CEDEN-314SAL","Nitrate",0.46,"mg/l"
"287",2008-02-25,"CEDEN-314SAL","Total dissolved solids",690,"mg/l"
"288",2008-02-25,"CEDEN-314SAL","Total dissolved solids",180,"mg/l"
"289",2008-03-24,"CEDEN-314SAL","Total dissolved solids",210,"mg/l"
"290",2008-03-24,"CEDEN-314SAL","Ammonia",0.035,"mg/l"
"291",2008-03-24,"CEDEN-314SAL","Total dissolved solids",730,"mg/l"
"292",2008-03-24,"CEDEN-314SAL","Nitrate",0.19,"mg/l"
"293",2008-03-24,"CEDEN-314SAL","Total dissolved solids",940,"mg/l"
"294",2008-03-24,"CEDEN-314SAL","Ammonia",0.001329,"mg/l"
"295",2008-04-21,"CEDEN-314SAL","Ammonia",0.003257,"mg/l"
"296",2008-04-21,"CEDEN-314SAL","Total dissolved solids",300,"mg/l"
"297",2008-04-21,"CEDEN-314SAL","Total dissolved solids",720,"mg/l"
"298",2008-04-21,"CEDEN-314SAL","Ammonia",0.074,"mg/l"
"299",2008-04-21,"CEDEN-314SAL","Total dissolved solids",1000,"mg/l"
"300",2008-05-21,"CEDEN-314SAL","Total dissolved solids",280,"mg/l"
"301",2008-05-21,"CEDEN-314SAL","Total dissolved solids",1000,"mg/l"
"302",2008-05-21,"CEDEN-314SAL","Nitrate",0.035,"mg/l"
"303",2008-05-21,"CEDEN-314SAL","Total dissolved solids",740,"mg/l"
"304",2008-06-16,"CEDEN-314SAL","Total dissolved solids",1100,"mg/l"
"305",2008-06-16,"CEDEN-314SAL","Total dissolved solids",260,"mg/l"
"306",2008-06-16,"CEDEN-314SAL","Total dissolved solids",800,"mg/l"
"307",2008-07-21,"CEDEN-314SAL","Total dissolved solids",860,"mg/l"
"308",2008-07-21,"CEDEN-314SAL","Total dissolved solids",260,"mg/l"
"309",2008-07-21,"CEDEN-314SAL","Total dissolved solids",1100,"mg/l"
"310",2008-07-21,"CEDEN-314SAL","Nitrate",0.09,"mg/l"
"311",2008-08-18,"CEDEN-314SAL","Total dissolved solids",480,"mg/l"
"312",2008-08-18,"CEDEN-314SAL","Total dissolved solids",690,"mg/l"
"313",2008-08-18,"CEDEN-314SAL","Total dissolved solids",1200,"mg/l"
"314",2008-09-22,"CEDEN-314SAL","Total dissolved solids",380,"mg/l"
"315",2008-09-22,"CEDEN-314SAL","Total dissolved solids",900,"mg/l"
"316",2008-09-22,"CEDEN-314SAL","Total dissolved solids",1300,"mg/l"
"317",2008-10-21,"CEDEN-314SAL","Total dissolved solids",820,"mg/l"
"318",2008-10-21,"CEDEN-314SAL","Total dissolved solids",1200,"mg/l"
"319",2008-10-21,"CEDEN-314SAL","Total dissolved solids",430,"mg/l"
"320",2008-10-21,"CEDEN-314SAL","Nitrate",0.06,"mg/l"
"321",2008-11-11,"CEDEN-314SAL","Total dissolved solids",440,"mg/l"
"322",2008-11-11,"CEDEN-314SAL","Nitrate",0.29,"mg/l"
"323",2008-11-11,"CEDEN-314SAL","Total dissolved solids",1100,"mg/l"
"324",2008-11-11,"CEDEN-314SAL","Ammonia",0.026,"mg/l"
"325",2008-11-11,"CEDEN-314SAL","Total dissolved solids",670,"mg/l"
"326",2008-11-11,"CEDEN-314SAL","Ammonia",0.000548,"mg/l"
"327",2008-12-09,"CEDEN-314SAL","Total dissolved solids",1200,"mg/l"
"328",2008-12-09,"CEDEN-314SAL","Total dissolved solids",320,"mg/l"
"329",2008-12-09,"CEDEN-314SAL","Nitrate",0.037,"mg/l"
"330",2008-12-09,"CEDEN-314SAL","Total dissolved solids",880,"mg/l"
"331",2014-01-22,"CEDEN-314SAL","Nitrate",0.069,"mg/l"
"332",2014-01-22,"CEDEN-314SAL","Nitrate",0.03,"mg/l"
"333",2014-01-22,"CEDEN-314SAL","Ammonia",0.12,"mg/l"
"334",2014-01-22,"CEDEN-314SAL","Total dissolved solids",270,"mg/l"
"335",2014-01-22,"CEDEN-314SAL","Total dissolved solids",1300,"mg/l"
"336",2014-01-22,"CEDEN-314SAL","Total dissolved solids",230,"mg/l"
"337",2014-01-22,"CEDEN-314SAL","Total dissolved solids",1140,"mg/l"
"338",2014-01-22,"CEDEN-314SAL","Total dissolved solids",1100,"mg/l"
"339",2014-01-22,"CEDEN-314SAL","Total dissolved solids",1100,"mg/l"
"340",2014-01-22,"CEDEN-314SAL","Total dissolved solids",1400,"mg/l"
"341",2014-01-22,"CEDEN-314SAL","Total dissolved solids",1400,"mg/l"
"342",2014-02-27,"CEDEN-314SAL","Total dissolved solids",1300,"mg/l"
"343",2014-02-27,"CEDEN-314SAL","Total dissolved solids",1300,"mg/l"
"344",2014-02-27,"CEDEN-314SAL","Total dissolved solids",220,"mg/l"
"345",2014-02-27,"CEDEN-314SAL","Nitrate",0.022,"mg/l"
"346",2014-02-27,"CEDEN-314SAL","Total dissolved solids",1280,"mg/l"
"347",2014-02-27,"CEDEN-314SAL","Total dissolved solids",1060,"mg/l"
"348",2014-02-27,"CEDEN-314SAL","Total dissolved solids",1000,"mg/l"
